ponto_id,rotulo_real,escore,ic95_lo,ic95_hi,variavel_principal,contribuicao_variavel_principal,dino_evidence_patch_id,model_version,regiao
recife_pos_0109_275aeb5c822d3794,1,0.5158,0.357,0.6665,rain_decay_index_api_chirps,-0.4415,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0110_4bcc840abff2d84a,1,0.5625,0.3631,0.7468,rain_decay_index_api_chirps,0.2494,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0111_1586135f7f7fd06c,1,0.369,0.2689,0.4647,rain_decay_index_api_chirps,-0.7048,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0112_634bb986f97b6b2b,1,0.4328,0.2695,0.6123,rain_decay_index_api_chirps,-0.8681,REC_NEG_00012,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0113_438c573b48289ddd,1,0.6541,0.3411,0.8782,twi_dinf,1.1439,REC_NEG_00010,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0114_b865cb43acca5be2,1,0.6264,0.4741,0.7883,rain_decay_index_api_chirps,0.4941,REC_00322,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0115_649e4a4931e7d9bd,1,0.8696,0.7621,0.9498,rain_decay_index_api_chirps,1.3693,REC_NEG_00010,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0116_d1fed903b66a1c80,1,0.4641,0.3773,0.5584,rain_decay_index_api_chirps,-0.4758,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0117_df314ef06b4e95f2,1,0.7163,0.4742,0.894,rain_decay_index_api_chirps,1.2735,REC_NEG_00012,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0118_950546c0f318fab0,1,0.7126,0.5712,0.8506,rain_decay_index_api_chirps,0.9523,REC_NEG_00010,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0119_488d5aaed0ac4396,1,0.3367,0.2347,0.4394,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0120_b883c5f986cfb61a,1,0.3617,0.2393,0.4845,rain_decay_index_api_chirps,-0.4449,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0121_ac71b50e8d88f772,1,0.5535,0.4607,0.6523,rain_decay_index_api_chirps,-0.5065,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0122_dd32ef50d7356a40,1,0.4677,0.2631,0.6735,slope_deg,-0.5331,REC_NEG_00013,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0123_9840f4be51872b94,1,0.6934,0.5658,0.8155,rain_peak_residual_orthogonalized,0.19,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0124_7897fdbcc0823d65,1,0.6059,0.5084,0.7009,elevation_m,-0.2716,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0125_255c1be70679ef38,1,0.7775,0.6675,0.8764,rain_decay_index_api_chirps,0.4946,REC_NEG_00013,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0126_e0f0e089d41d956b,1,0.685,0.5063,0.8316,elevation_m,0.4654,REC_NEG_00013,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0127_6f969503d3bc1e5e,1,0.46,0.3605,0.5706,rain_decay_index_api_chirps,-0.4084,REC_NEG_00010,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0128_f8f9f8d8550316fd,1,0.5943,0.4281,0.748,rain_decay_index_api_chirps,0.4289,REC_NEG_00010,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0129_bf12b6089a005fab,1,0.4834,0.4105,0.5599,elevation_m,-0.2679,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0130_cec3ed1fef8f9ded,1,0.4988,0.4005,0.6038,rain_decay_index_api_chirps,-0.2413,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0131_cd544d18c83239eb,1,0.3982,0.2822,0.5109,rain_decay_index_api_chirps,-0.4502,REC_NEG_00013,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0132_8366f3184920e77c,1,0.5094,0.4005,0.6324,rain_decay_index_api_chirps,-0.4296,REC_NEG_00010,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0133_d9d21d475602d02b,1,0.4507,0.3444,0.5732,elevation_m,-0.2685,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0134_53d2798638bfed57,1,0.9387,0.8471,0.9854,rain_decay_index_api_chirps,2.7115,REC_NEG_00013,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
