Tipo,Orgao,DataCriacao,Assunto,Subdivisao,Situacao,Logradouro,Bairro,Regional,DataResposta,Origem,source_year
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,31/10/2023,Drenagem,Alagamentos,Concluído,Rua Antenor Pereira,PILARZINHO,Unidade Regional Boa Vista,01/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,22/02/2023,Drenagem,Alagamentos,Concluído,RUA JÚLIO EDUARDO GINESTE,SANTA QUITERIA,Unidade Regional Portao,02/03/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/11/2023,Drenagem,Alagamentos,Concluído,RUA AUGUSTO DOS ANJOS,BARREIRINHA,Unidade Regional Boa Vista,28/11/2023,Portal,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,22/11/2023,Drenagem,Alagamentos,Concluído,RUA NICOLAU VOROBI,CIDADE INDUSTRIAL,Unidade Regional CIC,24/11/2023,Telefone,2023
Solicitação,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,11/02/2023,Drenagem,Alagamentos,Concluído,RUA TREZE DE MAIO,CENTRO,Unidade Regional Matriz,15/02/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,24/11/2023,Drenagem,Alagamentos,Concluído,RUA MARIA GUSSO SFORZA,PILARZINHO,Unidade Regional Boa Vista,24/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,06/11/2023,Drenagem,Alagamentos,Concluído,Rua Augusto Dias Paredes,BOQUEIRAO,Unidade Regional Boqueirao,16/11/2023,Portal,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,16/10/2023,Drenagem,Alagamentos,Concluído,RUA ALBERTO POTIER,BOA VISTA,Unidade Regional Boa Vista,20/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,Rua Basílio Fuck,XAXIM,Unidade Regional Boqueirao,13/11/2023,Chat,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,16/01/2023,Drenagem,Alagamentos,Concluído,Rua José Ribeiro Baptista,CAMPO DE SANTANA,Unidade Regional Tatuquara,17/01/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,16/01/2023,Drenagem,Alagamentos,Concluído,Cyro Correia Pereira,CIDADE INDUSTRIAL,Unidade Regional CIC,25/01/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,21/06/2023,Drenagem,Alagamentos,Concluído,RUA HENRIQUE CORREIA,BAIRRO ALTO,Unidade Regional Boa Vista,22/06/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,18/04/2023,Drenagem,Alagamentos,Concluído,Rua Monte Hermom,PINHEIRINHO,Unidade Regional Pinheirinho,10/05/2023,Telefone,2023
Solicitação,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,23/11/2023,Drenagem,Alagamentos,Concluído,RUA 24 DE MAIO,REBOUCAS,Unidade Regional Matriz,13/12/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,RUA JOSE ANICETO,CIDADE INDUSTRIAL,Unidade Regional CIC,31/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/11/2023,Drenagem,Alagamentos,Concluído,RUA MIGUEL OZÓRIO DE ALMEIDA,FAZENDINHA,Unidade Regional Portao,08/03/2024,Telefone,2023
